Topic,Description,Notes
Student Debt,,Main
Govermental Efforts,,Subtopic
Ranking,,Subtopic
Capitalism,,Subtopic
Typical Payment,,Subtopic
Trans Generational Problem,,Subtopic
Entertainment,,Point
Paid Off Show ,,Point
March Madness,,Point
American Dream,,Point
(Mis)Invested Potential Wealth,,Point
Best Colleges Magazine,,Point
Student Debt as Top Debt,,Point
Supernation Power,,Point
War On Poverty,,Point
Higher Education Act of 1965,,Point
Military Strength,,Point
Sputnik,,Point
National Defense Education Act of 1958,,Point
GI Bill,,Point
Income Based Repayment,,Point
Public Service Loan Forgiveness,,Point
Forebearance,,Point
Cutting the Banks,,Point
State AGs,,Point
Raegan ERA,,Point
CFPB,,Point
Largest Bank: Dep't of Education,,Point
Loan Servicers,,Point
Navient,,Point
John Remondi,,Point
Betsy DeVos,,Point
Cuts in Higher Education Funding,,Point
Recessions,,Point
Online Education,,Point
Gov't + Banks Partnership,,Point
Aggressive Debt Collection,,Point
For-Profit Universities,,Point
Dep't of Education,,Point
(Mis/Dis)Informed Financial Advice,,Point
Incompetence,,Point
