Topic,Description,Notes,Image Path
Student Debt,"While it would be ideal to be able to attend college for free or without incurring debt, the truth is that student loans are frequently required for people seeking a higher education, especially given the rate at which college tuition continues to rise. Over the last decade, the student debt crisis has grown by 144%, putting 45 million Americans on the hook for $1.7 trillion in loans. Increasing tuition costs and uncontrolled borrowing aren't helping the situation. ""The student loan system is saddling millions of students and families with debt that harms their long-term financial security and well-being,"" Kevin Miller, BPC associate director of higher education, said in a statement. ""And when borrowers cannot repay their loans, the federal government and taxpayers foot the bill. We need reforms to protect students as well as taxpayers from the negative consequences of excessive student debt.” Loan forgiveness and limits on the amount of federal student debt that borrowers can take on have been the subject of political discussions. However, unless new legislation is passed, debtors are likely to face an ever-increasing debt load in the future.",Main,images/debt.jpg
Govermental Efforts,"Higher education in the United States has always been regarded as a beneficial investment for many individuals and the general public, despite the fact that disparities in educational investment returns across schools were sometimes exaggerated. Here, students and their families fund much of college through loans, though public institutions are funded in part through state and local taxes, and both private and public institutions through Pell grants, gifts from donors and alumni, and investment earnings, especially at older schools.",Subtopic,images/congress.png
Ranking,The conception of student loans that eventually blossomed to the monstrosity that we see today is because of America’s desire to always be a global superpower. Ranking plays a huge role on American politics and agenda and this industry is not immune. ,Subtopic,images/flags.png
Capitalism,"College loans are approaching $2 trillion as the semesters go on, which is more than all homeowners owe on their credit cards combined. Fully two-thirds of our undergraduates are in debt, many of whom come from middle-class families that previously paid for much of college out of savings. Try this one if you want to make a name for yourself as an economic clairvoyant. Defaults on student indebtedness, beginning with for-profit colleges and progressing to the Ivy League, will be the next subprime disaster. There is, nevertheless, a distinction. Banks take and resell homes when borrowers default on their mortgages. The banks are unconcerned whether a degree cannot be sold. They drafted the student loan legislation, which states that they are not ""dischargable."" The payments will continue to be payable even if you file for bankruptcy. ", which is more than all homeowners owe on their credit cards combined. Fully two-thirds of our undergraduates are in debt,images/capitalism.jpg
Typical Payment,"There are several ways that a student can pay for their student loans. Listed here are the typical payments of doing so but is not limited. Some pursue to enroll in the US military, some engage in gap years to work, while some will undergo unforeseen circumstances with possible financial instabilities.",,images/payment.png
Trans Generational Problem,"The student loan crisis is a problem that transcends beyond generations. Through egregiously outdated legislation in minimum wage, tax regulation, and lack of oversight on such bureaucracies, the burden to pay outstanding student loans relies more primarily on the borrowers than the government. Cultural values, myths, and disappointing fallacies might also be the culprit too.",,images/americandream.png
Entertainment,"There were some instances that people’s suffering with student debt has been turned into an entertaining matter. While it is extremely insensitive, such events produce a stark commentary between the working class, the middle class, and the upper class.",Point,images/entertainment.png
Paid Off Show ,"Paid Off with Michael Torpey gives three college grads—each saddled with student debt—the chance to test the value of their education in a fun, fast-paced trivia contest. In the end, one lucky winner will have the chance to win the sum of their debt in cash. Torpey, the host and creative force behind the show, champions that he agrees with the idea that the show is dystopian, but views it as a form of satire.",Point,images/paidoff.png
March Madness,"Student loan servicers like Navient are well known for providing inadequate customer service. With providing such a disservice, they could maximize their profits by limiting call length times, not providing enough information, and consciously giving out overpromised statutes. In companies like Navient, their customer service has gotten so extremely bad to the point that they treat customers’ problems like a game. Quoting Buzzfeed News: “At Navient's call centers, Brittany said, managers sometimes tried to turn the pressure put onto their employees into a more lighthearted experience, creating competitions between teams. During March Madness, her managers created a bracket on the wall and had agents compete against one another to collect payments and resolve accounts.”",Point,images/march.png
American Dream,"College education, which has long been a key component of the American Dream, is now in risk as a result of tremendous student debt, which has turned into a financial cancer with potentially fatal effects for the entire country. Student debt not only puts a constant strain on millions of working-class families, but it also imposes a hidden cost on all Americans since it is a drag on the economy as a whole.
Since the year 2000, personal debt has increased dramatically. The average debt at graduation for four-year college students is now $36,693, nearly double what it was in 2001. (adjusted for inflation). The typical debt for graduate students is $59,000, up from $38,000 in 2004. More than 3.2 million Americans owe $100,000 or more on their student loans. Some people are perplexed as to how the American ideal of equal opportunity has deteriorated so drastically. Part of the solution lies in the way we fund higher education. Student debt has become an inextricable component of the American inequity narrative. Higher education, with strong public funding, was once the cornerstone of a system that promised opportunity to hardworking students of all backgrounds. We now have a pay-to-play, winner-take-all game in which the wealthiest are guaranteed a spot while the remainder are forced to wager on massive debts with no assurance of repayment.",Point,images/americandream.png
